seed,stratum,suite,scenario,namespace,updates_a,updates_b,resistance_a,resistance_b,coupling_a,coupling_b,live_a,live_b,crossings_a,crossings_b,source_fires_a,source_fires_b,drive_deliveries,modulatory_deliveries,eligibility,modes,generations,work,accepts,path_edges,firings,deallocations,bytes,fingerprint,permanent,quiescent,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,replay,passed
6101,S00,law,simultaneous-drive-and-modulation,2028037665193984,1,0,4,1,2,1,true,true,2,0,2,0,11,1,a=Some(8)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,252,1,0,9,0,1888,7503483179260163598,8793760402077590527,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,law,dense-parallel-crossed-routes,2028037666242560,1,0,4,1,2,1,true,true,2,2,2,2,29,1,a=None|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,729,1,0,21,0,1888,12852328570280052079,14378475469427651679,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px0,acquisition,2028037671485440,0,0,11,0,2,1,true,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,535,4,0,20,1,992,956883156095771903,4119315201790535220,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px0,probation,2028037672534016,0,0,0,0,2,1,false,false,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,109,1,0,5,2,992,9263710155870235786,16240348358296070731,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px0,stable-return-specificity,2028037673582592,0,0,4,1,2,1,true,true,1,1,1,1,11,1,a=None|b=Some(4),candidate=Drive|return=Modulatory,a1|b1,180,1,0,9,0,992,12703761922607919654,16739844510813574865,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px0,forgetting,2028037674631168,0,0,0,0,2,1,false,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,553,4,0,20,2,992,10787832284625831384,2490230192132600752,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px0,fresh-reproposal,2028037675679744,0,0,1,0,1,0,true,false,4,0,2,0,7,0,fresh=Some(15),candidate=Drive|return=Modulatory,old2|fresh6,85,0,0,6,1,560,7019744519215087344,2058174725762501874,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px0,reacquisition,2028037676728320,0,0,11,0,2,0,true,false,11,0,5,0,17,4,fresh=None,candidate=Drive|return=Modulatory,old2|fresh6,276,4,0,16,1,560,8096481461287472248,4097932429808265142,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px1,support-a,2028037688262656,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,225,2,0,10,1,992,13006490260064318732,12859379934432293531,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px1,support-b,2028037689311232,0,1,0,6,1,2,false,true,0,2,0,2,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,225,2,0,10,1,992,1099020325330417364,4910937944650030599,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px1,no-support,2028037690359808,0,0,1,1,1,1,true,true,0,0,0,0,0,0,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,0,0,0,0,0,992,3455202422186352581,7563014738089165541,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px1,participation-return-blocked,2028037691408384,0,0,0,1,1,1,false,true,1,0,2,0,9,0,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,136,0,0,7,1,992,9773545711573816049,3752215602744728254,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px1,return-without-participation,2028037692456960,0,0,0,0,1,1,false,false,0,0,0,0,2,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,51,0,0,2,2,992,5873159396227818195,17434744609284822980,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px1,joint-participation,2028037693505536,1,1,6,6,2,2,true,true,2,2,2,2,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,528,4,0,20,0,992,9312807760792781633,7651160480356327129,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,forward-traversal-return,2028037705039872,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,225,2,0,10,1,992,13117071903831910130,6723155369697346137,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,reverse-traversal-return,2028037706088448,0,1,0,6,1,2,false,true,0,2,0,2,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,225,2,0,10,1,992,6082697957290629734,10008497329495593101,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,correlation-without-traversal,2028037707137024,0,0,0,0,1,1,false,false,0,0,0,0,12,12,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,376,0,0,12,2,992,17784169437321558966,13562371662750748823,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,forward-return-blocked,2028037708185600,0,0,0,1,1,1,false,true,1,0,2,0,9,0,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,136,0,0,7,1,992,8948951638515742467,7106038353621803676,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,joint-traversal-return,2028037709234176,1,1,6,6,2,2,true,true,2,2,2,2,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,528,4,0,20,0,992,13519766008357646907,3524224864730342443,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,forward-with-wrong-way-observation,2028037710282752,1,0,6,0,2,1,true,false,2,0,2,0,18,8,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,455,2,0,16,1,992,1672306700151432350,14607356262748619314,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6101,S00,px2,reverse-with-wrong-way-observation,2028037711331328,0,1,0,6,1,2,false,true,0,2,0,2,18,8,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,455,2,0,16,1,992,13124438067761214476,13801076832568520022,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,ordinary-drive-after-participation,2028040875933696,0,0,1,1,1,1,true,true,1,0,1,0,7,0,a=Some(4)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,175,0,0,5,0,2784,15510019486122211187,18331343473132541385,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,modulation-without-eligibility,2028040876982272,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,35,0,0,1,0,2784,3277243367290729508,7750134696475062889,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,timely-modulatory-return,2028040878030848,1,0,4,1,2,1,true,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,176,1,0,5,0,2784,14279714520454274365,16797639190264354631,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,strong-modulation-does-not-excite,2028040879079424,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,strong_return=Modulatory:coupling4|candidate=Drive,a1|b1,36,0,0,1,0,2896,15946290197534436547,15893835907437243556,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,dense-ordinary-nonleakage,2028040880128000,0,0,1,1,1,1,true,true,2,1,2,1,39,0,a=Some(5)|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,1184,0,0,24,0,2784,6332382044312140099,9889915630244024905,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,fixed-routes-r0-drive-r1-modulatory,2028040881176576,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Drive|r1=Modulatory|candidate=Drive,a1|b1,233,1,0,6,0,3008,4353375584573113201,5313373278272406691,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,fixed-routes-r0-modulatory-r1-drive,2028040882225152,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Modulatory|r1=Drive|candidate=Drive,a1|b1,233,1,0,6,0,3008,2124756645064344581,1219391313988657763,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,two-completed-modulatory-returns,2028040883273728,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b2,401,2,0,10,1,2784,750392240439623208,13289667064247118295,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,two-local-eligible-candidates,2028040884322304,1,1,4,4,2,2,true,true,1,1,1,0,7,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,219,2,0,6,0,2896,7565955061383660230,284529278171100062,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,expired-eligibility-modulation,2028040885370880,0,0,0,1,1,1,false,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a2|b1,177,0,0,5,1,2784,7657902251152221566,16790836017689763754,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,simultaneous-drive-and-modulation,2028040886419456,1,0,4,1,2,1,true,true,2,0,2,0,11,1,a=Some(8)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,324,1,0,9,0,2784,9786486363056199510,15330306055582082375,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,law,dense-parallel-crossed-routes,2028040887468032,1,0,4,1,2,1,true,true,2,2,2,2,45,1,a=None|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,1489,1,0,29,0,2784,726970744918223221,13788369188325092071,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px0,acquisition,2028040892710912,0,0,11,0,2,1,true,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,535,4,0,20,1,992,10547028069973658706,8042695680064096061,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px0,probation,2028040893759488,0,0,0,0,2,1,false,false,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,109,1,0,5,2,992,14511418566255966286,9625544851334175626,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px0,stable-return-specificity,2028040894808064,0,0,4,1,2,1,true,true,1,1,1,1,11,1,a=None|b=Some(4),candidate=Drive|return=Modulatory,a1|b1,180,1,0,9,0,992,10256575444524708271,16282624774154653088,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px0,forgetting,2028040895856640,0,0,0,0,2,1,false,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,553,4,0,20,2,992,14751432777135250736,716925286360256369,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px0,fresh-reproposal,2028040896905216,0,0,1,0,1,0,true,false,4,0,2,0,7,0,fresh=Some(15),candidate=Drive|return=Modulatory,old2|fresh6,85,0,0,6,1,560,13369132629007027942,3995766611669612628,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px0,reacquisition,2028040897953792,0,0,11,0,2,0,true,false,11,0,5,0,17,4,fresh=None,candidate=Drive|return=Modulatory,old2|fresh6,276,4,0,16,1,560,8439981677063267740,12487445620030521784,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px1,support-a,2028040909488128,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,225,2,0,10,1,992,1390374421264487541,1053580507324984590,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px1,support-b,2028040910536704,0,1,0,6,1,2,false,true,0,2,0,2,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,225,2,0,10,1,992,5218669271086994787,10176242972810906290,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px1,no-support,2028040911585280,0,0,1,1,1,1,true,true,0,0,0,0,0,0,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,0,0,0,0,0,992,13414346951157185584,10645069864090416480,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px1,participation-return-blocked,2028040912633856,0,0,0,1,1,1,false,true,1,0,2,0,9,0,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,136,0,0,7,1,992,9782506618690306764,10665105859025298451,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px1,return-without-participation,2028040913682432,0,0,0,0,1,1,false,false,0,0,0,0,2,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,51,0,0,2,2,992,10720767056631232194,747613981267095689,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px1,joint-participation,2028040914731008,1,1,6,6,2,2,true,true,2,2,2,2,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,528,4,0,20,0,992,10666195593918594170,11000821204110881860,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,forward-traversal-return,2028040926265344,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,225,2,0,10,1,992,12550919195762283235,10292605729442014880,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,reverse-traversal-return,2028040927313920,0,1,0,6,1,2,false,true,0,2,0,2,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,225,2,0,10,1,992,2132395125890148285,18268752852492686292,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,correlation-without-traversal,2028040928362496,0,0,0,0,1,1,false,false,0,0,0,0,12,12,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,376,0,0,12,2,992,6644005052710515949,10942312876664041142,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,forward-return-blocked,2028040929411072,0,0,0,1,1,1,false,true,1,0,2,0,9,0,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,136,0,0,7,1,992,8674988214494750538,250436035900512877,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,joint-traversal-return,2028040930459648,1,1,6,6,2,2,true,true,2,2,2,2,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,528,4,0,20,0,992,13360319972192131640,15134823564846333498,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,forward-with-wrong-way-observation,2028040931508224,1,0,6,0,2,1,true,false,2,0,2,0,18,8,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,460,2,0,16,1,992,14044364503426348688,13717051483813901131,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6113,S01,px2,reverse-with-wrong-way-observation,2028040932556800,0,1,0,6,1,2,false,true,0,2,0,2,18,8,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,460,2,0,16,1,992,12037306816322065182,14193601075779502639,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,ordinary-drive-after-participation,2028043023417344,0,0,1,1,1,1,true,true,1,0,1,0,7,0,a=Some(4)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,255,0,0,5,0,4576,8032672958840921675,3364006057059336805,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,modulation-without-eligibility,2028043024465920,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,51,0,0,1,0,4576,7396707905704574752,12258066767990255237,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,timely-modulatory-return,2028043025514496,1,0,4,1,2,1,true,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,256,1,0,5,0,4576,5736807063269057065,4205366388580933923,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,strong-modulation-does-not-excite,2028043026563072,0,0,1,1,1,1,true,true,0,0,0,0,1,1,a=None|b=None,strong_return=Modulatory:coupling4|candidate=Drive,a1|b1,52,0,0,1,0,4688,2997067340459229817,11470103779508962250,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,dense-ordinary-nonleakage,2028043027611648,0,0,1,1,1,1,true,true,2,1,2,1,71,0,a=Some(5)|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,3280,0,0,40,0,4576,1826125862892569615,15439435594900733029,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,fixed-routes-r0-drive-r1-modulatory,2028043028660224,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Drive|r1=Modulatory|candidate=Drive,a1|b1,329,1,0,6,0,4800,1635597435362882131,10514281909151180859,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,fixed-routes-r0-modulatory-r1-drive,2028043029708800,1,0,4,1,2,1,true,true,1,0,1,0,8,1,a=None|b=None,r0=Modulatory|r1=Drive|candidate=Drive,a1|b1,329,1,0,6,0,4800,17032386648874217187,15214015693961395383,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,two-completed-modulatory-returns,2028043030757376,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b2,577,2,0,10,1,4576,11426482018249386992,5704312214190977523,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,two-local-eligible-candidates,2028043031805952,1,1,4,4,2,2,true,true,1,1,1,0,7,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,315,2,0,6,0,4688,4482838645478391784,18180919801102191288,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,expired-eligibility-modulation,2028043032854528,0,0,0,1,1,1,false,true,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a2|b1,257,0,0,5,1,4576,14686874278026315778,9893630132192894606,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,simultaneous-drive-and-modulation,2028043033903104,1,0,4,1,2,1,true,true,2,0,2,0,11,1,a=Some(8)|b=None,candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,468,1,0,9,0,4576,2187524821055646066,4390232998998363171,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,law,dense-parallel-crossed-routes,2028043034951680,1,0,4,1,2,1,true,true,2,2,2,2,77,1,a=None|b=Some(5),candidate=Drive|return=Modulatory|distractors=Drive,a1|b1,3809,1,0,45,0,4576,12266975209228731829,17105058754820412739,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px0,acquisition,2028043040194560,0,0,11,0,2,1,true,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,535,4,0,20,1,992,6349061346616924805,13406210283317944458,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px0,probation,2028043041243136,0,0,0,0,2,1,false,false,1,0,1,0,6,1,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,109,1,0,5,2,992,10171239490281204170,6696222817101436533,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px0,stable-return-specificity,2028043042291712,0,0,4,1,2,1,true,true,1,1,1,1,11,1,a=None|b=Some(4),candidate=Drive|return=Modulatory,a1|b1,180,1,0,9,0,992,14263083969524020300,14820964422918075063,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px0,forgetting,2028043043340288,0,0,0,0,2,1,false,false,4,0,4,0,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,553,4,0,20,2,992,3978842637981250856,14373813245905520470,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px0,fresh-reproposal,2028043044388864,0,0,1,0,1,0,true,false,4,0,2,0,7,0,fresh=Some(15),candidate=Drive|return=Modulatory,old2|fresh6,85,0,0,6,1,560,11631980865021266643,331237178388532225,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px0,reacquisition,2028043045437440,0,0,11,0,2,0,true,false,11,0,5,0,17,4,fresh=None,candidate=Drive|return=Modulatory,old2|fresh6,280,4,0,16,1,560,2073031534587406271,1139793306364737765,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px1,support-a,2028043056971776,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,225,2,0,10,1,992,8924367149116972110,13806648768772431513,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px1,support-b,2028043058020352,0,1,0,6,1,2,false,true,0,2,0,2,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,225,2,0,10,1,992,3666044007746757802,8721101217958727549,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px1,no-support,2028043059068928,0,0,1,1,1,1,true,true,0,0,0,0,0,0,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,0,0,0,0,0,992,7232500749071901935,10907499967729709279,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px1,participation-return-blocked,2028043060117504,0,0,0,1,1,1,false,true,1,0,2,0,9,0,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,136,0,0,7,1,992,5781224984890576503,18275008525377631700,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px1,return-without-participation,2028043061166080,0,0,0,0,1,1,false,false,0,0,0,0,2,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,51,0,0,2,2,992,6968927177293067225,2143998230877052126,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px1,joint-participation,2028043062214656,1,1,6,6,2,2,true,true,2,2,2,2,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,528,4,0,20,0,992,1821014290323727799,15123752457736715987,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,forward-traversal-return,2028043073748992,1,0,6,0,2,1,true,false,2,0,2,0,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,225,2,0,10,1,992,17663220427244791696,9441830075383352271,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,reverse-traversal-return,2028043074797568,0,1,0,6,1,2,false,true,0,2,0,2,12,2,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,225,2,0,10,1,992,13376439925374241804,14457722559515372163,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,correlation-without-traversal,2028043075846144,0,0,0,0,1,1,false,false,0,0,0,0,12,12,a=None|b=None,candidate=Drive|return=Modulatory,a2|b2,396,0,0,12,2,992,12724909900860087112,17442531572859926897,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,forward-return-blocked,2028043076894720,0,0,0,1,1,1,false,true,1,0,2,0,9,0,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,136,0,0,7,1,992,4580299212316621713,4351343043053499554,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,joint-traversal-return,2028043077943296,1,1,6,6,2,2,true,true,2,2,2,2,24,4,a=None|b=None,candidate=Drive|return=Modulatory,a1|b1,528,4,0,20,0,992,11869294744876486965,443029187505352821,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,forward-with-wrong-way-observation,2028043078991872,1,0,6,0,2,1,true,false,2,0,2,0,18,8,a=None|b=None,candidate=Drive|return=Modulatory,a1|b2,465,2,0,16,1,992,10483249225019586286,13893343171953592348,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
6121,S02,px2,reverse-with-wrong-way-observation,2028043080040448,0,1,0,6,1,2,false,true,0,2,0,2,18,8,a=None|b=None,candidate=Drive|return=Modulatory,a2|b1,465,2,0,16,1,992,1107303956991556776,8979568208685387080,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
