seed,sequence,exact,initial,expected,predicted,fingerprint_before,fingerprint_after,step,action,source_roles,result
0,repeat-3,true,5380296892686956347|1975336878148501349|3129959116107912986|4498637075285647250|13613401406652486785|4473563363222108401,1975336878148501349|3129959116107912986|5380296892686956347|4498637075285647250|13613401406652486785|4473563363222108401,1975336878148501349|3129959116107912986|5380296892686956347|4498637075285647250|13613401406652486785|4473563363222108401,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,3129959116107912986|5380296892686956347|1975336878148501349|4498637075285647250|13613401406652486785|4473563363222108401
0,repeat-3,true,5380296892686956347|1975336878148501349|3129959116107912986|4498637075285647250|13613401406652486785|4473563363222108401,1975336878148501349|3129959116107912986|5380296892686956347|4498637075285647250|13613401406652486785|4473563363222108401,1975336878148501349|3129959116107912986|5380296892686956347|4498637075285647250|13613401406652486785|4473563363222108401,8571606393682740567,8571606393682740567,2,10070300935264280721,2|0|1|3|4|5,1975336878148501349|3129959116107912986|5380296892686956347|4498637075285647250|13613401406652486785|4473563363222108401
0,single-4,true,14851828518367498322|12059310267557911881|4725316382832268858|17016691939881172644|12610850471658068918|7366963890053536643,14851828518367498322|14851828518367498322|4725316382832268858|17016691939881172644|12610850471658068918|7366963890053536643,14851828518367498322|14851828518367498322|4725316382832268858|17016691939881172644|12610850471658068918|7366963890053536643,8571606393682740567,8571606393682740567,1,352038673263882492,0|0|2|3|4|5,14851828518367498322|14851828518367498322|4725316382832268858|17016691939881172644|12610850471658068918|7366963890053536643
0,repeat-4,true,11293737552664028494|988206224617284265|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064,11293737552664028494|11293737552664028494|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064,11293737552664028494|11293737552664028494|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064,8571606393682740567,8571606393682740567,1,352038673263882492,0|0|2|3|4|5,11293737552664028494|11293737552664028494|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064
0,repeat-4,true,11293737552664028494|988206224617284265|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064,11293737552664028494|11293737552664028494|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064,11293737552664028494|11293737552664028494|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064,8571606393682740567,8571606393682740567,2,352038673263882492,0|0|2|3|4|5,11293737552664028494|11293737552664028494|11667347140126997256|17326392348818358127|6918130671695339454|9134802989995152064
0,single-5,true,1939538927210965769|4043167894360318961|3706501115263722518|9546960338569149131|14533084497619584001|13939297350091893813,1939538927210965769|4043167894360318961|3706501115263722518|9546960338569149131|13939297350091893813|14533084497619584001,1939538927210965769|4043167894360318961|3706501115263722518|9546960338569149131|13939297350091893813|14533084497619584001,8571606393682740567,8571606393682740567,1,11310733538770586997,0|1|2|3|5|4,1939538927210965769|4043167894360318961|3706501115263722518|9546960338569149131|13939297350091893813|14533084497619584001
0,repeat-5,true,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095,8571606393682740567,8571606393682740567,1,11310733538770586997,0|1|2|3|5|4,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|10376028843612633095|13696413181563893094
0,repeat-5,true,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095,8571606393682740567,8571606393682740567,2,11310733538770586997,0|1|2|3|5|4,14438080947220776251|4029304559891669003|17716054347944906933|13887523347503267268|13696413181563893094|10376028843612633095
0,pair-0-1,true,756015739143303030|145267211788524930|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197,145267211788524930|756015739143303030|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197,145267211788524930|756015739143303030|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,756015739143303030|145267211788524930|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197
0,pair-0-1,true,756015739143303030|145267211788524930|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197,145267211788524930|756015739143303030|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197,145267211788524930|756015739143303030|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197,8571606393682740567,8571606393682740567,2,8090773787923290076,1|0|2|3|4|5,145267211788524930|756015739143303030|11750956091915212785|16942178535804388353|2340788612972260712|7119498716309218197
0,pair-0-2,true,9469353739389199190|2722375659694401936|16163769229495871599|7248011944726677118|15485020667075594608|15015734536456104320,2722375659694401936|16163769229495871599|9469353739389199190|7248011944726677118|15485020667075594608|15015734536456104320,2722375659694401936|16163769229495871599|9469353739389199190|7248011944726677118|15485020667075594608|15015734536456104320,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,9469353739389199190|2722375659694401936|16163769229495871599|7248011944726677118|15485020667075594608|15015734536456104320
0,pair-0-2,true,9469353739389199190|2722375659694401936|16163769229495871599|7248011944726677118|15485020667075594608|15015734536456104320,2722375659694401936|16163769229495871599|9469353739389199190|7248011944726677118|15485020667075594608|15015734536456104320,2722375659694401936|16163769229495871599|9469353739389199190|7248011944726677118|15485020667075594608|15015734536456104320,8571606393682740567,8571606393682740567,2,6310588847493140003,1|2|0|3|4|5,2722375659694401936|16163769229495871599|9469353739389199190|7248011944726677118|15485020667075594608|15015734536456104320
0,pair-0-3,true,3197885826910243083|16734547178026618872|17330730877744258813|3269671207185752884|12777248134181359698|17881529709816555768,17330730877744258813|3197885826910243083|16734547178026618872|3269671207185752884|12777248134181359698|17881529709816555768,17330730877744258813|3197885826910243083|16734547178026618872|3269671207185752884|12777248134181359698|17881529709816555768,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,3197885826910243083|16734547178026618872|17330730877744258813|3269671207185752884|12777248134181359698|17881529709816555768
0,pair-0-3,true,3197885826910243083|16734547178026618872|17330730877744258813|3269671207185752884|12777248134181359698|17881529709816555768,17330730877744258813|3197885826910243083|16734547178026618872|3269671207185752884|12777248134181359698|17881529709816555768,17330730877744258813|3197885826910243083|16734547178026618872|3269671207185752884|12777248134181359698|17881529709816555768,8571606393682740567,8571606393682740567,2,10070300935264280721,2|0|1|3|4|5,17330730877744258813|3197885826910243083|16734547178026618872|3269671207185752884|12777248134181359698|17881529709816555768
0,pair-0-4,true,17867156452557837672|12246307993831301222|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904,17867156452557837672|17867156452557837672|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904,17867156452557837672|17867156452557837672|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,17867156452557837672|12246307993831301222|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904
0,pair-0-4,true,17867156452557837672|12246307993831301222|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904,17867156452557837672|17867156452557837672|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904,17867156452557837672|17867156452557837672|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904,8571606393682740567,8571606393682740567,2,352038673263882492,0|0|2|3|4|5,17867156452557837672|17867156452557837672|16308163456572588843|3466279502108704524|8328992948916382384|971402949698467904
0,pair-0-5,true,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|3473679549847133073|5653294921323702371,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|5653294921323702371|3473679549847133073,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|5653294921323702371|3473679549847133073,8571606393682740567,8571606393682740567,1,12379188883074871056,0|1|2|3|4|5,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|3473679549847133073|5653294921323702371
0,pair-0-5,true,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|3473679549847133073|5653294921323702371,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|5653294921323702371|3473679549847133073,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|5653294921323702371|3473679549847133073,8571606393682740567,8571606393682740567,2,11310733538770586997,0|1|2|3|5|4,3345457151203229334|11247541027910882209|8659240456405163415|14696968936057440319|5653294921323702371|3473679549847133073
0,pair-1-0,true,15836758011089954127|2600605140759730260|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031,2600605140759730260|15836758011089954127|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031,2600605140759730260|15836758011089954127|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,2600605140759730260|15836758011089954127|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031
0,pair-1-0,true,15836758011089954127|2600605140759730260|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031,2600605140759730260|15836758011089954127|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031,2600605140759730260|15836758011089954127|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031,8571606393682740567,8571606393682740567,2,12379188883074871056,0|1|2|3|4|5,2600605140759730260|15836758011089954127|6634601093357752589|15902199277636983323|13500528822544672231|15896824092667630031
0,pair-1-2,true,16085236130103932027|16377895455119812986|12066774183951961743|2453215167963333739|10177082378420549523|7255119057646750977,16085236130103932027|12066774183951961743|16377895455119812986|2453215167963333739|10177082378420549523|7255119057646750977,16085236130103932027|12066774183951961743|16377895455119812986|2453215167963333739|10177082378420549523|7255119057646750977,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,16377895455119812986|16085236130103932027|12066774183951961743|2453215167963333739|10177082378420549523|7255119057646750977
0,pair-1-2,true,16085236130103932027|16377895455119812986|12066774183951961743|2453215167963333739|10177082378420549523|7255119057646750977,16085236130103932027|12066774183951961743|16377895455119812986|2453215167963333739|10177082378420549523|7255119057646750977,16085236130103932027|12066774183951961743|16377895455119812986|2453215167963333739|10177082378420549523|7255119057646750977,8571606393682740567,8571606393682740567,2,6310588847493140003,1|2|0|3|4|5,16085236130103932027|12066774183951961743|16377895455119812986|2453215167963333739|10177082378420549523|7255119057646750977
0,pair-1-3,true,12426579221707186465|7357573735902352056|14358309004885792292|8866933139968544376|4336460227135171651|10661994905321383317,14358309004885792292|7357573735902352056|12426579221707186465|8866933139968544376|4336460227135171651|10661994905321383317,14358309004885792292|7357573735902352056|12426579221707186465|8866933139968544376|4336460227135171651|10661994905321383317,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,7357573735902352056|12426579221707186465|14358309004885792292|8866933139968544376|4336460227135171651|10661994905321383317
0,pair-1-3,true,12426579221707186465|7357573735902352056|14358309004885792292|8866933139968544376|4336460227135171651|10661994905321383317,14358309004885792292|7357573735902352056|12426579221707186465|8866933139968544376|4336460227135171651|10661994905321383317,14358309004885792292|7357573735902352056|12426579221707186465|8866933139968544376|4336460227135171651|10661994905321383317,8571606393682740567,8571606393682740567,2,10070300935264280721,2|0|1|3|4|5,14358309004885792292|7357573735902352056|12426579221707186465|8866933139968544376|4336460227135171651|10661994905321383317
0,pair-1-4,true,12933018274132389383|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816,12025817067861357826|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816,12025817067861357826|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,12025817067861357826|12933018274132389383|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816
0,pair-1-4,true,12933018274132389383|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816,12025817067861357826|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816,12025817067861357826|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816,8571606393682740567,8571606393682740567,2,352038673263882492,0|0|2|3|4|5,12025817067861357826|12025817067861357826|14855525118319251871|16494364898460138253|3720177881985541109|2581566195966940816
0,pair-1-5,true,16734013027492939164|12881574914981845980|2092849206590627065|5780276703450008542|2379643613504062549|915280486640038299,12881574914981845980|16734013027492939164|2092849206590627065|5780276703450008542|915280486640038299|2379643613504062549,12881574914981845980|16734013027492939164|2092849206590627065|5780276703450008542|915280486640038299|2379643613504062549,8571606393682740567,8571606393682740567,1,8090773787923290076,1|0|2|3|4|5,12881574914981845980|16734013027492939164|2092849206590627065|5780276703450008542|2379643613504062549|915280486640038299
0,pair-1-5,true,16734013027492939164|12881574914981845980|2092849206590627065|5780276703450008542|2379643613504062549|915280486640038299,12881574914981845980|16734013027492939164|2092849206590627065|5780276703450008542|915280486640038299|2379643613504062549,12881574914981845980|16734013027492939164|2092849206590627065|5780276703450008542|915280486640038299|2379643613504062549,8571606393682740567,8571606393682740567,2,11310733538770586997,0|1|2|3|5|4,12881574914981845980|16734013027492939164|2092849206590627065|5780276703450008542|915280486640038299|2379643613504062549
0,pair-2-0,true,7255395890987302448|4154504512611290324|10835684862181603313|5564368201807872798|16277614258144304239|14248499952089786704,4154504512611290324|10835684862181603313|7255395890987302448|5564368201807872798|16277614258144304239|14248499952089786704,4154504512611290324|10835684862181603313|7255395890987302448|5564368201807872798|16277614258144304239|14248499952089786704,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,4154504512611290324|10835684862181603313|7255395890987302448|5564368201807872798|16277614258144304239|14248499952089786704
0,pair-2-0,true,7255395890987302448|4154504512611290324|10835684862181603313|5564368201807872798|16277614258144304239|14248499952089786704,4154504512611290324|10835684862181603313|7255395890987302448|5564368201807872798|16277614258144304239|14248499952089786704,4154504512611290324|10835684862181603313|7255395890987302448|5564368201807872798|16277614258144304239|14248499952089786704,8571606393682740567,8571606393682740567,2,12379188883074871056,0|1|2|3|4|5,4154504512611290324|10835684862181603313|7255395890987302448|5564368201807872798|16277614258144304239|14248499952089786704
0,pair-2-1,true,11734800378477767236|17163468358141669674|13591963733348128576|3464927881985894269|11343792613846469788|4618576875149039177,13591963733348128576|17163468358141669674|11734800378477767236|3464927881985894269|11343792613846469788|4618576875149039177,13591963733348128576|17163468358141669674|11734800378477767236|3464927881985894269|11343792613846469788|4618576875149039177,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,17163468358141669674|13591963733348128576|11734800378477767236|3464927881985894269|11343792613846469788|4618576875149039177
0,pair-2-1,true,11734800378477767236|17163468358141669674|13591963733348128576|3464927881985894269|11343792613846469788|4618576875149039177,13591963733348128576|17163468358141669674|11734800378477767236|3464927881985894269|11343792613846469788|4618576875149039177,13591963733348128576|17163468358141669674|11734800378477767236|3464927881985894269|11343792613846469788|4618576875149039177,8571606393682740567,8571606393682740567,2,8090773787923290076,1|0|2|3|4|5,13591963733348128576|17163468358141669674|11734800378477767236|3464927881985894269|11343792613846469788|4618576875149039177
0,pair-2-3,true,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,4999140845207215922|11727133990763446119|16024290791899476137|1173481037096019998|13729654031495393826|7249328890438111415
0,pair-2-3,true,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415,8571606393682740567,8571606393682740567,2,10070300935264280721,2|0|1|3|4|5,16024290791899476137|4999140845207215922|11727133990763446119|1173481037096019998|13729654031495393826|7249328890438111415
0,pair-2-4,true,10010424483448180137|6677907812035936107|8030590584057408367|4085683698115812717|12198171940462059972|15431170422424384301,6677907812035936107|6677907812035936107|10010424483448180137|4085683698115812717|12198171940462059972|15431170422424384301,6677907812035936107|6677907812035936107|10010424483448180137|4085683698115812717|12198171940462059972|15431170422424384301,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,6677907812035936107|8030590584057408367|10010424483448180137|4085683698115812717|12198171940462059972|15431170422424384301
0,pair-2-4,true,10010424483448180137|6677907812035936107|8030590584057408367|4085683698115812717|12198171940462059972|15431170422424384301,6677907812035936107|6677907812035936107|10010424483448180137|4085683698115812717|12198171940462059972|15431170422424384301,6677907812035936107|6677907812035936107|10010424483448180137|4085683698115812717|12198171940462059972|15431170422424384301,8571606393682740567,8571606393682740567,2,352038673263882492,0|0|2|3|4|5,6677907812035936107|6677907812035936107|10010424483448180137|4085683698115812717|12198171940462059972|15431170422424384301
0,pair-2-5,true,15161429175623139169|2140376967302844503|1500316506868018443|10206294791802251486|1710502943699431712|4383358763766448828,2140376967302844503|1500316506868018443|15161429175623139169|10206294791802251486|4383358763766448828|1710502943699431712,2140376967302844503|1500316506868018443|15161429175623139169|10206294791802251486|4383358763766448828|1710502943699431712,8571606393682740567,8571606393682740567,1,6310588847493140003,1|2|0|3|4|5,2140376967302844503|1500316506868018443|15161429175623139169|10206294791802251486|1710502943699431712|4383358763766448828
0,pair-2-5,true,15161429175623139169|2140376967302844503|1500316506868018443|10206294791802251486|1710502943699431712|4383358763766448828,2140376967302844503|1500316506868018443|15161429175623139169|10206294791802251486|4383358763766448828|1710502943699431712,2140376967302844503|1500316506868018443|15161429175623139169|10206294791802251486|4383358763766448828|1710502943699431712,8571606393682740567,8571606393682740567,2,11310733538770586997,0|1|2|3|5|4,2140376967302844503|1500316506868018443|15161429175623139169|10206294791802251486|4383358763766448828|1710502943699431712
0,pair-3-0,true,6471109036626673160|6715285471172056474|6714917382113536569|17114459633281877284|5672500370958372278|1443265972001130522,6714917382113536569|6471109036626673160|6715285471172056474|17114459633281877284|5672500370958372278|1443265972001130522,6714917382113536569|6471109036626673160|6715285471172056474|17114459633281877284|5672500370958372278|1443265972001130522,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,6714917382113536569|6471109036626673160|6715285471172056474|17114459633281877284|5672500370958372278|1443265972001130522
0,pair-3-0,true,6471109036626673160|6715285471172056474|6714917382113536569|17114459633281877284|5672500370958372278|1443265972001130522,6714917382113536569|6471109036626673160|6715285471172056474|17114459633281877284|5672500370958372278|1443265972001130522,6714917382113536569|6471109036626673160|6715285471172056474|17114459633281877284|5672500370958372278|1443265972001130522,8571606393682740567,8571606393682740567,2,12379188883074871056,0|1|2|3|4|5,6714917382113536569|6471109036626673160|6715285471172056474|17114459633281877284|5672500370958372278|1443265972001130522
0,pair-3-1,true,10300037725598719129|14436472346929083775|17970269690678093054|6225538110668239225|14574862663234058042|15779169196974348283,10300037725598719129|17970269690678093054|14436472346929083775|6225538110668239225|14574862663234058042|15779169196974348283,10300037725598719129|17970269690678093054|14436472346929083775|6225538110668239225|14574862663234058042|15779169196974348283,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,17970269690678093054|10300037725598719129|14436472346929083775|6225538110668239225|14574862663234058042|15779169196974348283
0,pair-3-1,true,10300037725598719129|14436472346929083775|17970269690678093054|6225538110668239225|14574862663234058042|15779169196974348283,10300037725598719129|17970269690678093054|14436472346929083775|6225538110668239225|14574862663234058042|15779169196974348283,10300037725598719129|17970269690678093054|14436472346929083775|6225538110668239225|14574862663234058042|15779169196974348283,8571606393682740567,8571606393682740567,2,8090773787923290076,1|0|2|3|4|5,10300037725598719129|17970269690678093054|14436472346929083775|6225538110668239225|14574862663234058042|15779169196974348283
0,pair-3-2,true,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,11626433121981512633|12942342221506599443|11654847322624996564|215803270556348394|11002241496472950943|18242110724542856475
0,pair-3-2,true,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475,8571606393682740567,8571606393682740567,2,6310588847493140003,1|2|0|3|4|5,12942342221506599443|11654847322624996564|11626433121981512633|215803270556348394|11002241496472950943|18242110724542856475
0,pair-3-4,true,4700175348194345872|5869514630860239478|4279755327653978750|17771949226886555739|2803891595369318029|11100631160525995205,4279755327653978750|4279755327653978750|5869514630860239478|17771949226886555739|2803891595369318029|11100631160525995205,4279755327653978750|4279755327653978750|5869514630860239478|17771949226886555739|2803891595369318029|11100631160525995205,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,4279755327653978750|4700175348194345872|5869514630860239478|17771949226886555739|2803891595369318029|11100631160525995205
0,pair-3-4,true,4700175348194345872|5869514630860239478|4279755327653978750|17771949226886555739|2803891595369318029|11100631160525995205,4279755327653978750|4279755327653978750|5869514630860239478|17771949226886555739|2803891595369318029|11100631160525995205,4279755327653978750|4279755327653978750|5869514630860239478|17771949226886555739|2803891595369318029|11100631160525995205,8571606393682740567,8571606393682740567,2,352038673263882492,0|0|2|3|4|5,4279755327653978750|4279755327653978750|5869514630860239478|17771949226886555739|2803891595369318029|11100631160525995205
0,pair-3-5,true,2942229895095869474|12352330538173320541|13927000825146903082|15414068637261726950|9836382331614653988|18016520001805812520,13927000825146903082|2942229895095869474|12352330538173320541|15414068637261726950|18016520001805812520|9836382331614653988,13927000825146903082|2942229895095869474|12352330538173320541|15414068637261726950|18016520001805812520|9836382331614653988,8571606393682740567,8571606393682740567,1,10070300935264280721,2|0|1|3|4|5,13927000825146903082|2942229895095869474|12352330538173320541|15414068637261726950|9836382331614653988|18016520001805812520
0,pair-3-5,true,2942229895095869474|12352330538173320541|13927000825146903082|15414068637261726950|9836382331614653988|18016520001805812520,13927000825146903082|2942229895095869474|12352330538173320541|15414068637261726950|18016520001805812520|9836382331614653988,13927000825146903082|2942229895095869474|12352330538173320541|15414068637261726950|18016520001805812520|9836382331614653988,8571606393682740567,8571606393682740567,2,11310733538770586997,0|1|2|3|5|4,13927000825146903082|2942229895095869474|12352330538173320541|15414068637261726950|18016520001805812520|9836382331614653988
